AMC,Morning star rating,Value Research rating,1 month return,NAV,1 Year return,3 Year Return,Minimum investment,AUM,Category,Risk
invesco mutual fund,3,3,0.028399999999999998,16.67,0.2228,0.1005,500.0,500.0,Hybrid,ModeratelyHigh
invesco mutual fund,0,0,0.073,7.85,0.11810000000000001,0.09029999999999999,500.0,500.0,Other,VeryHigh
invesco mutual fund,3,2,0.0709,131.51,0.4343,0.1726,500.0,500.0,Equity,Moderate
invesco mutual fund,0,0,0.043899999999999995,16.82,0.1165,0.0819,500.0,500.0,Other,VeryHigh
invesco mutual fund,3,0,0.0944,138.62,0.4954,0.20670000000000002,500.0,500.0,Equity,High
invesco mutual fund,0,0,0.0332,15.23,0.2773,0.0,500.0,500.0,Other,VeryHigh
invesco mutual fund,2,3,0.062400000000000004,22.65,0.3921,0.1631,500.0,500.0,Hybrid,Moderate
uti mutual fund,3,5,0.0054,3341.45,0.0676,0.0564,500.0,500.0,Debt,Low
tata mutual fund,3,0,0.0,13.18,0.0,0.0,150.0,150.0,Debt,LowtoModerate
tata mutual fund,0,0,0.0060999999999999995,11.48,0.076,0.0,500.0,500.0,Other,LowtoModerate
tata mutual fund,0,0,0.0067,11.23,0.0782,0.0,500.0,500.0,Other,LowtoModerate
tata mutual fund,0,0,0.009399999999999999,11.39,0.08779999999999999,0.0,500.0,500.0,Other,Moderate
tata mutual fund,5,3,0.005699999999999999,3892.45,0.073,0.059500000000000004,500.0,500.0,Debt,LowtoModerate
tata mutual fund,4,4,0.0059,4443.64,0.0761,0.0621,500.0,500.0,Debt,LowtoModerate
tata mutual fund,0,3,0.0053,1293.58,0.067,0.0558,500.0,500.0,Debt,Low
tata mutual fund,0,0,0.0070999999999999995,11.6,0.08109999999999999,0.0,500.0,500.0,Other,LowtoModerate
nippon india mutual fund,0,0,0.0064,25.48,0.0724,0.0592,0.0,0.0,Debt,Low
nippon india mutual fund,0,0,0.0062,34.25,0.0707,0.057999999999999996,5000.0,5000.0,Debt,Low
edelweiss mutual fund,0,0,0.0691,15.59,0.0,0.0,100.0,100.0,Equity,VeryHigh
edelweiss mutual fund,0,0,0.0833,12.13,0.0,0.0,100.0,100.0,Equity,VeryHigh
hdfc mutual fund,3,4,0.071,16.0,0.2296,0.14730000000000001,100.0,100.0,Equity,VeryHigh
franklin templeton mutual fund,0,4,0.055999999999999994,1676.01,0.41259999999999997,0.2205,500.0,500.0,Equity,Moderate
franklin templeton mutual fund,0,0,0.08,559.01,0.5056,0.1724,500.0,500.0,Equity,High
franklin templeton mutual fund,3,4,0.0347,268.8,0.29710000000000003,0.1518,500.0,500.0,Hybrid,VeryHigh
franklin templeton mutual fund,4,3,0.0165,86.57,0.1449,0.085,500.0,500.0,Hybrid,ModeratelyHigh
franklin templeton mutual fund,0,3,0.0165,86.57,0.1449,0.085,500.0,500.0,Hybrid,ModeratelyHigh
franklin templeton mutual fund,4,4,0.0365,759.29,0.4079,0.2586,500.0,500.0,Equity,VeryHigh
franklin templeton mutual fund,3,0,0.022000000000000002,148.07,0.4928,0.2438,500.0,500.0,Equity,High
franklin templeton mutual fund,2,2,0.0134,15.74,0.11720000000000001,0.0785,500.0,500.0,Hybrid,LowtoModerate
franklin templeton mutual fund,3,4,0.057,1521.92,0.4229,0.2231,500.0,500.0,Equity,Moderate
franklin templeton mutual fund,2,2,0.0545,1039.86,0.33490000000000003,0.1418,500.0,500.0,Equity,VeryHigh
